w_no,w_name,w_area,bu_2000,bu_2022,buchg_abs,buchg_per,ndvi_2000,ndvi_2022,ndvichg_abs,ndvichg_per,slp_min,slp_max,slp_rng,slp_mean,elv-min,elv_max,elv_rng,elv_mean,tot_p,tot_m,tot_f,Latitude,Longitude,TS_2000,QV2M_2000,PRECTOTCORR_2000,WS10M_MAX_2000,WS50M_MAX_2000,TS_2022,QV2M_2022,PRECTOTCORR_2022,WS10M_MAX_2022,WS50M_MAX_2022
11,Nagole,11.18,3.21,6.16,2.95,26.39,1.84,0.41,-1.11,-9.89,0,14.22,14.22,2.46,456,525,69,489.01,50462,25680,24782,17.35,78.3417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
12,Mansoorabad,11.09,3.58,7.21,3.63,32.73,0.36,0.14,-3.27,-29.5,0,12.77,12.77,2.44,490,541,51,512.59,81484,41850,39634,17.1667,78.25,27.8889,10.8803,1.7971,5.5621,7.9277,27.6336,12.6654,2.3981,5.399,7.5787
13,Hayath Nagar,10.09,2.82,7.16,4.35,43.1,1.02,0.28,-3.32,-32.95,0,9.23,9.23,2.32,495,541,46,514.69,57789,29739,28050,16.9833,78.1583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
14,B.N.Reddy Nagar,8.73,2.5,5.9,3.4,38.97,0.43,0.12,-2.97,-34.01,0,14.43,14.43,2.49,514,571,57,534.71,51227,26325,24902,17.325,78.3667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
15,Vanasthalipuram,3.64,2.36,3.4,1.04,28.72,0.05,0,-0.99,-27.21,0,13.08,13.08,2.51,505,557,52,527.82,55245,27792,27453,17.2333,78.275,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
16,Hasthinapuram,5.03,1.26,4.94,3.68,73.17,0.22,0,-3.47,-68.86,0,10.7,10.7,2.64,497,546,49,520.41,37079,18845,18234,17.2167,78.2583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,5.2672,2.6465,5.2672,7.2976
17,Champapet,2.22,1.73,2.18,0.45,20.07,0.04,0,-0.41,-18.29,0,7.22,7.22,2.3,491,519,28,505.31,33864,17338,16526,17.2083,78.25,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
18,Lingojiguda,2.7,2.43,2.69,0.25,9.35,0.05,0,-0.2,-7.54,0,9.82,9.82,2.21,485,519,34,502.41,25242,13010,12232,17.2,78.2417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
19,Saroor Nagar,2.29,1.97,2.07,0.1,4.32,0,0,-0.09,-4.13,0,7.57,7.57,2.45,481,517,36,497.94,45226,22908,22318,17.1917,78.2333,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,5.2672,2.6465,5.2672,7.2976
20,R.K. Puram,2.47,2.24,2.41,0.17,6.89,0,0,-0.17,-6.89,0,7.23,7.23,2.27,481,514,33,497.2,45484,23220,22264,17.175,78.2167,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
21,Kothapet,2.44,1.91,2.11,0.21,8.43,0.61,0.01,0.41,16.63,0,11.49,11.49,2.63,462,514,52,481.05,56751,29434,27317,17.1667,78.2083,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
22,Chaithanyapuri,2.21,1.57,1.67,0.1,4.49,0.55,0.2,0.45,20.23,0,13.25,13.25,2.62,464,501,37,480.5,47220,24351,22869,17.1583,78.2,28.2756,13.7588,2.4174,5.2107,7.2035,28.1496,14.6472,2.5032,5.099,7.0882
23,Gaddiannaram,1.45,1.4,1.45,0.04,2.85,0.04,0,0,0.12,0,6.66,6.66,1.9,482,499,17,488.76,35196,17903,17293,17.15,78.1917,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
24,Saidabad,1.79,1.77,1.77,0,0.13,0.01,0.02,0.06,3.31,0,12.66,12.66,2.82,489,528,39,507.47,60763,31814,28949,17.1417,78.1833,26.5765,2.5542,12.1546,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
25,Moosarambagh,2.05,1.69,1.86,0.17,8.46,0.32,0.02,0.14,6.97,0,9.52,9.52,2.55,470,511,41,490.55,22589,11580,11009,17.1333,78.175,26.9367,12.6659,2.2757,5.5031,7.5488,26.4064,13.5101,2.6465,5.2672,7.2976
26,Old Malakpet,2.33,1.63,1.63,0,0,0.34,0.14,0.36,15.4,0,22.33,22.33,2.89,472,521,49,491.2,43599,22334,21265,17.125,78.1667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
27,Akber Bagh,1.42,1.23,1.24,0.01,0.9,0.01,0.03,0.2,13.74,0,21.78,21.78,2.72,495,531,36,509.56,42758,22040,20718,17.1167,78.1583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
28,Azampura,1.42,1.14,1.31,0.18,12.44,0.13,0,-0.05,-3.6,0,9.64,9.64,2.47,480,517,37,495.86,46256,23838,22418,17.1083,78.15,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
29,Chawani,0.99,0.94,0.94,0,0.11,0,0,0,0.09,0,7.42,7.42,2.32,498,523,25,509.34,54010,27701,26309,17.1,78.1417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
30,Dabeerpura,1.37,1.1,1.17,0.07,5.12,0.13,0.01,0.06,4.4,0,9.14,9.14,2.33,483,508,25,497.26,22888,11663,11225,17.0833,78.125,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
31,Rain Bazar,0.67,0.67,0.67,0,0,0,0,0,0,0,6.85,6.85,1.92,496,514,18,504.04,25280,13145,12135,17.075,78.1167,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
32,Pathergatti,1.77,1.54,1.58,0.04,1.98,0.11,0.04,0.07,4.22,0,11.7,11.7,2.53,483,519,36,504.27,39521,20172,19349,17.0667,78.1083,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
33,Moghalpura,0.84,0.84,0.85,0,0.32,0,0,0,-0.32,0,7.35,7.35,2.09,506,526,20,515.37,23269,12161,11108,17.0583,78.1,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
34,Talabchanchalam,0.65,0.65,0.65,0,0.69,0,0,0,-0.14,0,4.95,4.95,1.78,501,515,14,506.77,47127,24304,22823,17.05,78.0917,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
35,Gowlipura,1.05,1.02,1.04,0.02,1.63,0.05,0,0.04,3.51,0,6.66,6.66,1.89,505,534,29,519.39,40214,20350,19864,17.0417,78.0833,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
36,Lalithabagh,1,0.97,0.98,0.01,1.21,0.09,0.01,0.12,11.53,0,5.86,5.86,2.02,503,516,13,510.12,32375,16591,15784,17.0333,78.075,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
37,Kurmaguda,1.02,1.01,1.02,0.01,0.79,0,0,-0.01,-0.79,0,6.62,6.62,1.98,503,520,17,511.57,30725,15904,14821,17.025,78.0667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
38,I.S.Sadan,2.66,1.92,2.17,0.26,9.73,0.04,0.02,-0.22,-8.38,0,8.59,8.59,2.26,488,517,29,499.89,25782,13328,12454,17.0167,78.0583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
39,Santosh Nagar,1.08,1.05,1.05,0,0.36,0,0,0.03,2.66,0,8.68,8.68,2.26,504,528,24,514.75,68878,35824,33054,17.0083,78.05,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
40,Riyasat Nagar,1.13,1.04,1.08,0.04,3.51,0.04,0,0,0.24,0,6.62,6.62,2.17,507,530,23,517.84,31269,16101,15168,16.9917,78.0333,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
41,Kanchanbagh,4.99,1.52,1.7,0.18,3.52,0.65,0.07,0.47,9.45,0,15.56,15.56,2.77,516,563,47,532.1,31812,16073,15739,16.9833,78.025,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
42,Barkas,1.63,0.91,0.98,0.07,4.42,0.38,0.02,0.31,19.11,0,9.55,9.55,2.81,526,559,33,542.9,28678,14588,14090,16.975,78.0167,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
43,Chandrayangutta,1.95,1.48,1.66,0.18,9.13,0.14,0.01,-0.03,-1.71,0,20.05,20.05,2.87,513,566,53,529.97,57542,31214,26328,16.9667,78.0083,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
44,Uppuguda,1.41,1.28,1.37,0.09,6.58,0.16,0,0.07,4.73,0,6.92,6.92,2.18,507,527,20,515.69,41854,21339,20515,16.9583,78,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
45,Jangammet,1.68,1.55,1.55,0,0.11,0.14,0,0.13,7.91,0,11.64,11.64,2.13,513,541,28,523.73,38433,19898,18535,16.95,77.9917,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
46,Falaknuma,1.87,1.05,1.62,0.56,30.19,0.04,0.03,-0.53,-28.22,0,22.78,22.78,5.08,519,590,71,541.19,21082,10942,10140,16.9417,77.9833,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
47,Nawabsaheb Kunta,1.03,0.9,1,0.1,9.55,0,0,-0.1,-9.55,0,15.23,15.23,3.84,528,571,43,542.09,28268,14579,13689,16.9333,77.975,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
48,Shali Banda,1.55,1.44,1.53,0.09,6.05,0.08,0,-0.02,-1.16,0,6.47,6.47,2.17,509,539,30,525.7,37323,19742,17581,16.925,77.9667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
49,Gansi Bazar,1.83,1.35,1.42,0.07,4.03,0.27,0.05,0.2,10.65,0,12.81,12.81,2.57,484,519,35,502.18,17601,9222,8379,16.9167,77.9583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
50,Begum Bazar,1.38,1.26,1.32,0.06,4.11,0.02,0,-0.04,-2.61,0,7.26,7.26,2.14,490,511,21,499.95,30615,15687,14928,16.9,77.9417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
51,Gosha Mahal,1.08,0.8,0.96,0.16,14.95,0.06,0,-0.1,-9.27,0,8.95,8.95,2.3,489,511,22,501.92,35729,18674,17055,16.8917,77.9333,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
52,Puranapool,0.76,0.73,0.75,0.02,2.36,0.01,0,-0.01,-1.54,0,8.67,8.67,1.91,495,518,23,506.68,28660,14772,13888,16.8833,77.925,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
53,Doodbowli,1.19,0.92,1.15,0.24,19.88,0.07,0,-0.17,-14.36,0,8.21,8.21,2,492,523,31,508.92,31292,16017,15275,16.875,77.9167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
54,Jahanuma,1.52,1.37,1.49,0.12,8.07,0.03,0,-0.09,-5.81,0,16.09,16.09,3.13,512,553,41,527.73,40105,20614,19491,16.8667,77.9083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
55,Ramnastpura,4.3,1.05,1.48,0.43,9.94,1.1,2.03,0.67,15.67,0,13.16,13.16,2.36,499,540,41,515.41,38482,19580,18902,16.8583,77.9,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
56,Kishan Bagh,1.43,1.17,1.28,0.12,8.09,0.18,0.11,0.07,4.58,0,11.58,11.58,2.38,492,539,47,506.47,56773,28928,27845,16.85,77.8917,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
57,Suleman Nagar,3.5,1.64,2.48,0.84,24.09,0.16,0.33,-0.68,-19.58,0,23.01,23.01,4.44,515,573,58,535.55,53631,27507,26124,16.8417,77.8833,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
58,Shastripuram,4.85,1.61,4.46,2.85,58.77,0.16,0.04,-2.69,-55.43,0,18.81,18.81,3.72,516,590,74,541.01,52306,27228,25078,16.8333,77.875,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
59,Mailardevpally,13.17,4.7,8.27,3.57,27.12,1.18,1.94,-2.39,-18.16,0,11.52,11.52,2.79,528,591,63,553.47,57040,28734,28306,16.825,77.8667,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
60,Rajendra Nagar,22.19,6.74,8.74,2,9,2.71,5.61,0.71,3.2,0,19.08,19.08,3.31,496,613,117,537.46,66846,34234,32612,16.8083,77.85,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
61,Attapur,4.38,2.79,4.08,1.3,29.6,0.89,0.13,-0.41,-9.39,0,14.08,14.08,2.86,494,556,62,515.56,43718,22499,21219,16.8,77.8417,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
62,Ziaguda,1.71,1.35,1.39,0.04,2.63,0.14,0.03,0.09,5.31,0,7.75,7.75,2.46,488,515,27,500.23,33674,17334,16340,16.7917,77.8333,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
63,Mangalhat,1.17,0.94,1.06,0.12,10.45,0.11,0.01,-0.02,-1.46,0,21.29,21.29,3.44,497,554,57,512.1,37129,19065,18064,16.7833,77.825,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
64,Dattathreya Nagar,0.68,0.64,0.68,0.04,6.08,0,0,-0.04,-6.08,0,13,13,3.55,503,539,36,517.74,42684,21766,20918,16.775,77.8167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
65,Karwan,1.97,1.53,1.78,0.25,12.51,0.36,0.01,0.11,5.75,0,12.75,12.75,2.54,485,530,45,506.07,42365,21824,20541,16.7667,77.8083,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
66,Lunger House,7.17,3.17,3.17,0,0.07,1.63,1.3,2.2,30.61,0,26,26,3.42,492,608,116,522.23,41452,20894,20558,16.7583,77.8,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
67,Golconda,2.62,1.86,1.87,0.01,0.2,0.45,0.08,0.75,28.74,0,25.61,25.61,2.53,503,549,46,521.82,40688,21165,19523,16.75,77.7917,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
68,Tolichowki,2.19,1.32,1.32,0,0,0.66,0.55,0.83,38.02,0,15.53,15.53,2.82,510,551,41,526.16,60074,30664,29410,16.7417,77.7833,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
69,Nanal Nagar,3.01,1.67,1.67,0,0.05,0.46,0.57,0.84,27.95,0,19.59,19.59,2.89,511,595,84,536.87,39933,20532,19401,16.7333,77.775,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
70,Mehdipatnam,1.21,1.15,1.17,0.02,1.64,0,0,-0.02,-1.64,0,10.32,10.32,2.59,518,543,25,529.79,63787,31868,31919,16.7167,77.7583,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
71,Gudimalkapur,1.68,1.22,1.44,0.22,12.96,0.1,0.01,-0.12,-7.07,0,19.51,19.51,3.47,503,558,55,519.68,49565,26517,23048,16.7083,77.75,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
72,Asif Nagar,1.22,1.16,1.2,0.04,3.1,0,0,-0.04,-3.1,0,18.68,18.68,2.88,511,548,37,523.84,40889,20907,19982,16.7,77.7417,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
73,Vijay Nagar Colony,1.7,1.45,1.48,0.03,1.74,0.06,0.01,0.03,1.96,0,12.32,12.32,2.63,511,550,39,523.93,31635,15838,15797,16.6917,77.7333,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
74,Ahmed Nagar,1.74,1.33,1.34,0,0.23,0.11,0.18,0.42,24.39,0,21.09,21.09,3.23,517,592,75,535.85,25847,12921,12926,16.6833,77.725,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
75,Red Hills,1.92,1.44,1.47,0.02,1.17,0.14,0.06,0.11,5.89,0,12.24,12.24,3.21,502,545,43,523.28,34868,17851,17017,16.675,77.7167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
76,Mallepally,0.94,0.94,0.94,0,0.03,0,0,0,0.19,0,6.26,6.26,2.04,502,523,21,511.55,27280,13864,13416,16.6667,77.7083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
77,Jambagh (Nampally),2.07,1.8,1.94,0.14,6.75,0,0,-0.14,-6.71,0,8.53,8.53,2.41,493,518,25,504.49,40798,20788,20010,16.6583,77.7,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
78,Gunfoundry (Abids),3.21,2.44,2.52,0.08,2.41,0.1,0,0.02,0.76,0,24.8,24.8,3.39,488,563,75,514.06,22309,11134,11175,16.65,77.6917,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
79,Himayat Nagar,1.99,1.88,1.9,0.02,0.77,0,0,-0.01,-0.73,0,9.13,9.13,2.64,489,526,37,509.98,31267,15861,15406,16.6417,77.6833,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
80,Kachiguda (Barkathpura),1.47,1.41,1.41,0,0.09,0.01,0,0.01,0.61,0,7.39,7.39,2.48,486,511,25,499.12,40354,20406,19948,16.625,77.6667,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
81,Nallakunta,1.4,1.35,1.35,0,0.11,0,0,0.08,5.41,0,8.16,8.16,2.22,482,521,39,496.69,30388,15225,15163,16.6167,77.6583,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
82,Golnaka,1.49,1.28,1.28,0,0.12,0.12,0.01,0.13,8.46,0,7.94,7.94,2.36,478,497,19,487.93,37320,19029,18291,16.6083,77.65,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
83,Amberpet,1.68,1.39,1.4,0.01,0.49,0.09,0.06,0.38,22.36,0,9.37,9.37,2.17,477,501,24,490.33,26762,13407,13355,16.6,77.6417,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
84,Bagh Amberpet,1.58,1.48,1.49,0.01,0.5,0.01,0,0.07,4.73,0,7.5,7.5,2.28,488,524,36,502.17,41720,21375,20345,16.5917,77.6333,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
85,Adikmet,1.14,1.05,1.11,0.06,5.07,0,0,-0.06,-5.07,0,8.68,8.68,2.29,493,517,24,504.78,24826,12566,12260,16.5833,77.625,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
86,Musheerabad,0.85,0.82,0.82,0,0.2,0,0,0.06,7.5,0,10.51,10.51,2.38,504,530,26,515.68,27719,13980,13739,16.575,77.6167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
87,Ramnagar,1.74,1.42,1.57,0.14,8.31,0.04,0,-0.11,-6.25,0,7.84,7.84,2.16,489,526,37,505.95,32531,16412,16119,16.5667,77.6083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
88,Bholakpur,1.01,0.99,0.99,0,0.11,0.01,0,0.03,2.58,0,9.02,9.02,2.23,504,529,25,515.1,36526,18482,18044,16.5583,77.6,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
89,Gandhinagar,1.36,1.33,1.34,0.01,0.41,0.01,0,0.05,3.37,0,11.54,11.54,2.55,490,522,32,505.1,34664,17535,17129,16.55,77.5917,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
90,Kavadiguda,2.07,1.33,1.34,0,0.03,0.34,0.19,0.5,24.41,0,11.42,11.42,2.83,494,527,33,509.98,34899,17690,17209,16.5333,77.575,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
91,Khairtabad,8.89,3.16,3.17,0.01,0.08,0.41,0.13,0.64,7.18,0,18.21,18.21,2.04,507,569,62,520.76,28426,14584,13842,16.525,77.5667,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
92,Venkateshwara Colony,4.85,2.71,2.71,0,0.02,0.11,0.12,0.1,2.15,0,18.92,18.92,4.27,529,619,90,582.51,31697,16384,15313,16.5167,77.5583,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
93,Banjara Hills,3.49,3,3.09,0.08,2.37,0,0.01,-0.08,-2.27,0,26.51,26.51,5.34,522,604,82,569.01,26593,13166,13427,16.5083,77.55,26.5087,12.1231,2.5533,5.4399,7.4488,26.4012,13.5143,2.6465,5.272,7.2999
94,Shaikpet,4.4,2.35,4.04,1.69,38.32,0.45,0.01,-1.23,-28.05,0,14.8,14.8,3.06,524,577,53,543.36,28887,14539,14348,16.5,77.5417,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
95,Jubilee Hills,8.9,6.98,7.16,0.17,1.95,0.12,0.09,-0.05,-0.61,0,27.58,27.58,5.41,539,637,98,591.52,32690,16413,16277,16.4917,77.5333,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
96,Yousufguda,1.94,1.69,1.69,0,0.05,0.02,0.01,0.32,16.39,0,17.23,17.23,3.18,540,610,70,561.33,28768,14846,13922,16.4833,77.525,26.3807,11.606,2.6061,5.4767,7.5787,26.4317,13.1285,2.5557,5.3122,7.4277
97,Somajiguda,2.3,2.04,2.09,0.04,1.84,0.04,0.01,-0.01,-0.31,0,14.55,14.55,2.9,514,557,43,537.16,35780,18227,17553,16.475,77.5167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
98,Ameerpet,2.42,2.08,2.08,0,0.05,0.12,0.05,0.15,6.24,0,15.86,15.86,2.67,514,555,41,536.97,26569,13395,13174,16.4667,77.5167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
